location;exclusion;Address
Basilica di San Vitale;;Basilica di San Vitale
Basilica di S.Vitale;;Basilica di San Vitale
San Vitale ;via san vitale;Basilica di San Vitale
S.Vitale;via s.vitale;Basilica di San Vitale
Battistero degli Ariani;;Battistero degli Ariani
Battistero Neoniano;;Battistero Neoniano
Piazzetta degli ariani;;Piazzetta degli ariani
Candiano;;Canale Candiano
Canale Molino;;Circonvallazione al Molino
Piazza d'armi;;Circonvallazione piazza d'armi
Circuito del savio;;Classe
Darsena;;Darsena di citta, Via Antico Squero
diga foranea;;Piazzale della Marina, Marina di Ravenna
giardini pubblici;;Giardini pubblici
giardini speyer;;Giardini Speyer
piattaforma;;Marina di Ravenna
isola;;Marina di Ravenna
pialassa piomboni;;Pialassa di Piombone
XX Settembre;;Piazza 20 Settembre
dell'acquila;;Piazza 20 Settembre
mercato coperto;;Piazza Andrea Costa
Giovanni Evangelista;;Piazza Anita Garibaldi
Piazza Baracca;;Piazza Baracca
Piazza Caduti;;Piazza Caduti per la liberta
Piazza dei Caduti;;Piazza Caduti per la liberta
Piazza D'annunzio;;Piazza D'Annunzio
Piazza Vittorio Emanuele;;Piazza del Popolo
Piazza del popolo;;Piazza del Popolo
Ponte degli Allocchi;;Piazza della Resistenza
Piazza Dante Alighieri;;Piazza Garibaldi
Piazza Kennedy;;Piazza Kennedy 1
Piazza Byron;;Piazza San Fracnesco
Hotel Byron;;Piazza San Francesco
Basilica di San Francesco;;Basilica di San Francesco
Chiesa di San Francesco;;Basilica di San Francesco
Piazzale Farini;;Piazzale Farini
Piazza Farini;;Piazzale Farini
Pineta di Classe;;Pineta di Classe
Pineta di Ravenna;;Pineta di Classe
Ponte Nuovo;;Ponte Nuovo
Porta Adriana;;Porta Adriana
Apollinare in Classe;;Via Romea Sud, 224
Teatro Alighieri;;Teatro Alighieri
IV Novembre;;Via 4 Novembre
Via Agro Pontino;;Via Agro Pontino
Villaggio Nullo Baldini;via;Via Agro Pontino
zona industriale;via;Via Baiona
capanno garibaldi;;Via Baiona 192
via palserrato;;Via Cairoli
via castel san pietro;;Via Castel San Pietro
porta nuova;;Via Cesarea 8
via mazzini;;Via Corrado Ricci
casa oriani;;Via Corrado Ricci 26
biblioteca oriani;;Via Corrado Ricci, 26
Tomba di dante;;Via Dante Alighieri
Via D'azeglio;;Via D'azeglio
Loggetta Lombardesca;;Via di Roma 13
Maria in Porto;;Via di Roma 19
Apollinare Nuovo;;Via di Roma, 52
ITIS;;Via Marconi 2
Marinara;;Via Marinara,11 Marina di Ravenna
Borgo San Rocco;via;Via Mazzini
Porta Sisi;;Via Mazzini 90
Moro di Venezia;;Via Molo Dalmazia 89, Marina di Ravenna
Torrce Civica;;Via Ponte Marino 2
Torre Comunale;;Via Ponte Marino 2
Acquedotto;;Via Popilia Antica 1
Maria del Torrione;;Via Umberto Majoli
colonia;;Viale della Pace, 460, Marina di Ravenna
circolo forestieri;;Viale delle nazioni 159, Marina di Ravenna
xenos;;Viale delle nazioni 159, Marina di Ravenna
Hotel Pineta;;Viale delle nazioni 159, Marina di Ravenna
Pala de Andr;;Viale Europa, 1
Messaggero Ravenna;;Viale Europa, 1
tribunale;;Viale Randi 69
baretto;;Piazzale Piloti del Porto 332
faro;;Via Molo Dalmazia 89
Galletti Abbiosi;;Via di Roma
Volto Perelli;;Via Serafino Ferruzzi
